,EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
45,2023/11/23 7:15:01 오후 GMT+9,2,돈까스에빠지다,돈까스,2,1,9,9,2,9,4,1,2,3
46,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
47,2023/11/21 7:51:12 오후 GMT+9,2,오김뒷,볶음밥,1,1,9,9,9,3,4,1,1,3
48,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
49,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
50,2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,9,9,9,2,9,4,9,9,4
51,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
52,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
53,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
54,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
55,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
56,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
57,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
58,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
59,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
60,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
61,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
62,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
