,EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
894,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
895,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
896,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
897,2023/11/21 9:58:17 오후 GMT+9,1,꽃뚜껑,삼겹살,3,1,9,9,9,9,4,2,2,3
898,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
899,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
900,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
901,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
902,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
903,2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,9,9,9,2,9,4,9,9,4
904,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
905,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
906,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
907,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
908,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
909,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
910,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
911,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
912,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
913,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
914,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
915,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
916,2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,9,9,2,9,4,2,2,3
917,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
918,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
919,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
920,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
921,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
922,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
923,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
924,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
925,2023/11/21 11:16:27 오후 GMT+9,2,백정육회,육회,1,1,9,9,9,3,9,1,1,2
926,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
927,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
928,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
929,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
930,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
931,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
932,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
933,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
934,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
935,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
936,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
937,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
938,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
939,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
940,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
941,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
942,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
943,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
944,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
945,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
946,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
947,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
948,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
949,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
950,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
951,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
952,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
953,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
954,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
955,2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,9,9,9,2,9,9,9,9,4
956,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
957,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
958,2023/11/21 7:51:12 오후 GMT+9,2,오김뒷,볶음밥,1,1,9,9,9,3,4,1,1,3
959,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
960,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
961,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
962,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
963,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
964,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
965,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
966,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
967,2023/11/22 9:13:30 오전 GMT+9,2,돈우리,차돌된장찌개,3,9,9,9,9,9,4,9,9,3
968,2023/11/21 10:26:52 오후 GMT+9,1,카츠디나인,등심돈까스,1,1,0,1,2,9,4,2,2,4
969,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
970,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
971,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
972,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
973,2023/11/21 10:26:52 오후 GMT+9,1,카츠디나인,등심돈까스,1,1,0,1,2,9,4,2,2,4
974,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
975,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
976,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
977,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
978,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
979,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
980,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
981,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
982,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
983,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
984,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
985,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
986,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
987,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
988,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
989,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
990,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
991,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
992,2023/11/22 9:13:30 오전 GMT+9,2,돈우리,차돌된장찌개,3,9,9,9,9,9,4,9,9,3
993,2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,9,9,2,9,4,2,2,3
994,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
995,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
996,2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,9,9,9,2,9,9,9,9,4
997,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
998,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
999,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
1000,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
1001,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
1002,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
1003,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
1004,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
1005,2023/11/21 10:26:52 오후 GMT+9,1,카츠디나인,등심돈까스,1,1,0,1,2,9,4,2,2,4
1006,2023/11/21 7:51:12 오후 GMT+9,2,오김뒷,볶음밥,1,1,9,9,9,3,4,1,1,3
1007,2023/11/21 8:39:28 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,9,9,9,9,4,1,2,3
1008,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
1009,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
1010,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1011,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
1012,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
1013,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1014,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
1015,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
1016,2023/11/21 8:39:28 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,9,9,9,9,4,1,2,3
1017,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
1018,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
1019,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
1020,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
1021,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1022,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
1023,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1024,2023/11/21 11:16:27 오후 GMT+9,2,백정육회,육회,1,1,9,9,9,3,9,1,1,2
1025,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
1026,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
1027,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1028,2023/11/21 11:27:00 오후 GMT+9,2,손시스시,손시스시A,2,1,0,1,2,9,4,1,2,2
1029,2023/11/21 9:58:17 오후 GMT+9,1,꽃뚜껑,삼겹살,3,1,9,9,9,9,4,2,2,3
1030,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
1031,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1032,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
1033,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1034,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
1035,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
1036,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
1037,2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,9,9,9,2,9,9,9,9,4
1038,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
1039,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
1040,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
1041,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1042,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
1043,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1044,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
1045,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
1046,2023/11/23 7:15:01 오후 GMT+9,2,돈까스에빠지다,돈까스,2,1,9,9,2,9,4,1,2,3
1047,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
1048,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
1049,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
1050,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
1051,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
1052,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
1053,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
1054,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
1055,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
1056,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
1057,2023/11/21 10:26:52 오후 GMT+9,1,카츠디나인,등심돈까스,1,1,0,1,2,9,4,2,2,4
1058,2023/11/21 8:02:45 오후 GMT+9,1,맺음,뭉티기,3,3,0,9,9,3,4,2,3,3
1059,2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,9,9,2,9,4,2,2,3
1060,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
1061,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
1062,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
1063,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
1064,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
1065,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1066,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
1067,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
1068,2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,9,9,3,4,1,1,3
1069,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
1070,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
1071,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
1072,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
1073,2023/11/23 7:15:01 오후 GMT+9,2,돈까스에빠지다,돈까스,2,1,9,9,2,9,4,1,2,3
1074,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
1075,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
1076,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1077,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1078,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
1079,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
1080,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
1081,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
1082,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
1083,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
1084,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
1085,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
1086,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
1087,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
1088,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
1089,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
1090,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
1091,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
1092,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
1093,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
1094,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
1095,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
1096,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
1097,2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,9,9,2,9,4,2,2,3
1098,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
1099,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
1100,2023/11/21 9:58:17 오후 GMT+9,1,꽃뚜껑,삼겹살,3,1,9,9,9,9,4,2,2,3
1101,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
1102,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
1103,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
1104,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
1105,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
1106,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
1107,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
1108,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
1109,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
1110,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
1111,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1112,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
1113,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
1114,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
1115,2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,9,9,9,2,9,9,9,9,4
1116,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1117,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
1118,2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,9,9,3,4,1,1,3
1119,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
1120,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
1121,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
1122,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
1123,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
